6	1	26	475	0	31
7	1	44	102	1	31
8	1	39	123	2	31
9	2	39	123	0	31
10	1	30	223	1	31
11	2	31	253	2	31
12	2	45	149	0	31
13	1	25	222	1	31
14	2	22	165	2	31
15	1	28	600	0	31
16	1	30	397	1	31
17	2	31	80	2	31
18	1	31	77	0	31
19	1	30	360	1	31
20	1	29	225	2	31
21	1	24	150	0	31
22	1	24	371	1	31
23	2	25	146	2	31
24	1	39	134	0	31
25	1	19	233	1	31
26	1	40	136	2	31
27	1	32	63	0	31
29	2	36	74	2	31
30	2	29	154	0	31
31	1	45	183	1	31
32	1	25	312	2	31
33	1	31	185	0	31
35	2	53	150	2	31
36	1	23	163	0	31
37	2	22	122	1	31
38	1	44	334	2	31
39	2	27	70	0	31
40	2	30	115	1	31
41	1	22	262	2	31
42	2	35	198	0	31
44	2	36	443	2	31
45	1	34	124	0	31
46	1	30	185	1	31
47	2	38	351	2	31
49	1	20	157	1	31
50	2	40	106	2	31
51	2	38	307	0	31
52	2	43	269	1	31
54	1	21	119	0	31
56	1	29	152	2	31
57	2	27	146	0	31
59	1	44	136	2	31
60	1	25	100	0	31
61	1	18	146	1	31
62	2	35	144	2	31
63	1	21	152	0	31
64	2	34	403	1	31
65	2	40	128	2	31
66	1	29	90	0	31
67	1	25	96	1	31
68	1	49	388	2	31
70	1	26	165	1	31
71	1	32	208	2	31
72	2	51	128	0	31
73	2	33	125	1	31
74	1	29	164	2	31
75	1	19	149	0	31
76	2	30	139	1	31
77	2	34	204	2	31
78	2	28	224	0	31
79	1	21	127	1	31
80	1	36	89	2	31
82	2	29	117	1	31
84	2	38	239	0	31
86	1	20	154	2	31
87	2	24	74	0	31
88	2	18	47	1	31
89	1	30	127	2	31
90	1	32	118	0	31
91	2	35	92	1	31
93	1	21	138	0	31
94	2	27	129	1	31
95	1	22	247	2	31
96	1	25	96	0	31
97	1	58	175	1	31
98	2	37	223	2	31
99	1	25	133	0	31
100	1	23	124	1	31
101	2	21	130	2	31
102	2	22	102	0	31
104	1	33	348	2	31
105	2	34	228	0	31
106	2	33	143	1	31
107	2	28	132	2	31
108	1	25	134	0	31
109	2	21	117	1	31
110	1	37	171	2	31
113	2	53	232	2	31
114	1	39	299	0	31
115	1	26	117	1	31
117	2	34	332	0	31
118	2	54	212	1	31
119	1	29	167	2	31
121	1	32	128	1	31
123	1	35	81	0	31
124	2	22	210	1	31
126	2	32	171	0	31
127	2	58	174	1	31
128	1	36	151	2	31
129	1	36	123	0	31
131	1	37	151	2	31
130	2	28	280	1	31
132	2	29	238	0	31
133	1	22	247	1	31
134	2	50	132	2	31
135	2	24	91	0	31
136	2	39	122	1	31
137	2	39	156	2	31
138	1	20	198	0	31
139	1	28	236	1	31
140	1	35	177	2	31
142	2	47	267	1	31
143	1	18	134	2	31
