18	2	23	407	2	31	1	-77	2	1	2	6	anonymized
19	2	26	468	3	31	1	-77	2	2	2	6	anonymized
41	2	25	417	9	31	1	1	2	1	2	6	anonymized
49	1	21	824	1	31	1	-77	2	1	2	4	anonymized
51	1	27	331	3	31	1	-77	2	2	2	4	anonymized
55	2	23	442	7	31	1	-77	2	2	2	6	anonymized
61	2	20	1409	13	31	1	-77	2	1	2	6	anonymized
85	2	25	636	5	31	1	-77	2	1	2	2	anonymized
88	2	24	244	8	31	1	-77	1	-77	2	6	anonymized
93	2	23	281	13	31	1	-77	2	1	2	6	anonymized
139	2	24	380	11	31	1	-77	2	2	2	6	anonymized
142	2	25	966	14	31	1	-77	1	-77	2	6	anonymized
144	1	27	390	0	31	1	-77	2	2	2	6	anonymized
147	2	28	246	3	31	1	-77	2	2	2	6	anonymized
155	2	25	317	11	31	1	-77	2	2	2	6	anonymized
164	2	21	472	4	31	1	-77	2	2	2	6	anonymized
169	1	28	412	9	31	1	-77	2	1	2	6	anonymized
191	2	26	301	15	31	1	-77	2	2	2	1	anonymized
205	1	25	199	13	31	1	-77	2	1	2	6	anonymized
208	1	27	306	0	31	1	-77	2	2	2	6	anonymized
210	2	22	438	2	31	1	-77	2	1	2	6	anonymized
212	2	23	512	4	31	1	-77	2	2	2	6	anonymized
214	1	21	325	6	31	1	-77	2	1	2	6	anonymized
218	1	28	292	10	31	1	-77	2	1	2	6	anonymized
236	2	23	403	12	31	1	-77	2	2	2	6	anonymized
240	2	18	222	0	31	1	-77	2	2	2	6	anonymized
267	1	27	328	11	31	1	-77	2	2	2	4	anonymized
278	2	20	-1	6	32	1	-77	2	1	1	6	anonymized
293	1	21	278	5	31	1	-77	2	2	2	2	anonymized
311	2	21	433	7	31	1	-77	2	2	2	5	anonymized
322	2	24	217	2	31	1	-77	1	-77	2	6	anonymized
324	1	22	283	4	31	1	-77	2	2	2	6	anonymized
325	1	39	355	5	31	1	-77	2	1	2	6	anonymized
327	1	28	329	7	31	1	-77	2	2	2	6	anonymized
328	1	25	345	8	31	1	-77	2	2	2	6	anonymized
330	1	25	251	10	31	1	-77	2	1	2	6	anonymized
331	1	25	335	11	31	1	-77	2	1	2	6	anonymized
338	2	61	456	2	31	1	-77	1	-77	1	6	anonymized
339	2	27	223	3	31	1	-77	2	2	1	6	anonymized
343	2	28	288	7	31	1	-77	1	-77	2	3	anonymized
344	2	24	339	8	31	1	-77	2	2	2	6	anonymized
347	2	24	257	11	31	1	-77	2	2	2	6	anonymized
357	2	24	246	5	31	1	-77	2	1	2	6	anonymized
360	1	23	337	8	31	1	-77	1	-77	2	6	anonymized
363	1	24	439	11	31	1	-77	2	2	2	6	anonymized
365	2	20	457	13	31	1	-77	2	1	2	2	anonymized
370	2	24	328	2	31	1	-77	1	-77	2	6	anonymized
373	1	25	147	5	31	1	-77	2	1	2	6	anonymized
377	1	14	697	9	31	2	1	2	1	2	6	anonymized
379	1	25	588	11	31	1	-77	1	-77	2	2	anonymized
380	2	26	283	12	31	1	-77	2	2	2	6	anonymized
381	2	48	406	13	31	1	-77	2	1	2	6	anonymized
382	2	22	325	14	31	1	-77	2	1	2	6	anonymized
386	2	22	315	2	31	1	-77	2	1	2	6	anonymized
392	2	23	251	8	31	1	-77	2	2	2	6	anonymized
393	1	26	383	9	31	1	-77	2	1	2	4	anonymized
395	2	27	593	11	31	1	-77	2	2	2	6	anonymized
397	1	22	238	13	31	1	-77	2	1	2	6	anonymized
399	2	18	379	15	31	1	-77	2	2	2	6	anonymized
400	2	23	210	0	31	1	-77	2	2	2	6	anonymized
411	1	24	413	11	31	1	-77	2	2	2	4	anonymized
413	1	26	1025	13	31	1	-77	2	1	2	3	anonymized
414	1	24	576	14	31	1	-77	2	1	2	6	anonymized
416	2	49	570	0	31	1	-77	2	2	2	4	anonymized
417	1	52	312	1	31	1	-77	2	1	2	6	anonymized
418	2	47	1507	2	31	1	-77	2	1	2	6	anonymized
419	1	26	629	3	31	1	-77	2	2	2	6	anonymized
424	2	25	372	1	31	1	-77	1	-77	2	6	anonymized
426	2	19	244	3	31	1	-77	2	1	2	1	anonymized
429	2	19	271	6	31	1	-77	2	1	2	6	anonymized
434	2	20	489	2	31	1	-77	2	2	2	4	anonymized
448	2	22	186	7	31	1	-77	1	-77	2	6	anonymized
